userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
16860,Content-Based,5,0.2,0.07142857142857142,1.0,0.10526315789473682,89,14,20
16860,Content-Based,10,0.2,0.14285714285714285,1.0,0.16666666666666666,89,14,20
16860,Content-Based,20,0.15,0.21428571428571427,1.0,0.1764705882352941,89,14,20
70506,Content-Based,5,0.0,0.0,0.0,0.0,185,19,20
70506,Content-Based,10,0.0,0.0,0.0,0.0,185,19,20
70506,Content-Based,20,0.0,0.0,0.0,0.0,185,19,20
112549,Content-Based,5,0.0,0.0,0.0,0.0,93,14,20
112549,Content-Based,10,0.0,0.0,0.0,0.0,93,14,20
112549,Content-Based,20,0.0,0.0,0.0,0.0,93,14,20
134628,Content-Based,5,0.0,0.0,0.0,0.0,42,4,20
134628,Content-Based,10,0.0,0.0,0.0,0.0,42,4,20
134628,Content-Based,20,0.0,0.0,0.0,0.0,42,4,20
124271,Content-Based,5,0.0,0.0,0.0,0.0,44,3,20
124271,Content-Based,10,0.0,0.0,0.0,0.0,44,3,20
124271,Content-Based,20,0.0,0.0,0.0,0.0,44,3,20
162041,Content-Based,5,0.0,0.0,0.0,0.0,19,1,20
162041,Content-Based,10,0.0,0.0,0.0,0.0,19,1,20
162041,Content-Based,20,0.0,0.0,0.0,0.0,19,1,20
70398,Content-Based,5,0.0,0.0,0.0,0.0,18,3,20
70398,Content-Based,10,0.0,0.0,0.0,0.0,18,3,20
70398,Content-Based,20,0.0,0.0,0.0,0.0,18,3,20
139171,Content-Based,5,0.0,0.0,0.0,0.0,30,6,20
139171,Content-Based,10,0.0,0.0,0.0,0.0,30,6,20
139171,Content-Based,20,0.0,0.0,0.0,0.0,30,6,20
1977,Content-Based,5,0.0,0.0,0.0,0.0,37,8,20
1977,Content-Based,10,0.0,0.0,0.0,0.0,37,8,20
1977,Content-Based,20,0.0,0.0,0.0,0.0,37,8,20
93304,Content-Based,5,0.0,0.0,0.0,0.0,32,6,20
93304,Content-Based,10,0.0,0.0,0.0,0.0,32,6,20
93304,Content-Based,20,0.0,0.0,0.0,0.0,32,6,20
36094,Content-Based,5,0.0,0.0,0.0,0.0,130,16,20
36094,Content-Based,10,0.0,0.0,0.0,0.0,130,16,20
36094,Content-Based,20,0.1,0.125,1.0,0.11111111111111112,130,16,20
78896,Content-Based,5,0.0,0.0,0.0,0.0,70,12,20
78896,Content-Based,10,0.0,0.0,0.0,0.0,70,12,20
78896,Content-Based,20,0.0,0.0,0.0,0.0,70,12,20
104823,Content-Based,5,0.0,0.0,0.0,0.0,27,4,20
104823,Content-Based,10,0.0,0.0,0.0,0.0,27,4,20
104823,Content-Based,20,0.05,0.25,1.0,0.08333333333333334,27,4,20
97965,Content-Based,5,0.0,0.0,0.0,0.0,50,5,20
97965,Content-Based,10,0.0,0.0,0.0,0.0,50,5,20
97965,Content-Based,20,0.0,0.0,0.0,0.0,50,5,20
137968,Content-Based,5,0.0,0.0,0.0,0.0,95,5,20
137968,Content-Based,10,0.0,0.0,0.0,0.0,95,5,20
137968,Content-Based,20,0.0,0.0,0.0,0.0,95,5,20
114672,Content-Based,5,0.0,0.0,0.0,0.0,31,5,20
114672,Content-Based,10,0.0,0.0,0.0,0.0,31,5,20
114672,Content-Based,20,0.0,0.0,0.0,0.0,31,5,20
3008,Content-Based,5,0.0,0.0,0.0,0.0,756,60,20
3008,Content-Based,10,0.0,0.0,0.0,0.0,756,60,20
3008,Content-Based,20,0.05,0.016666666666666666,1.0,0.025,756,60,20
46148,Content-Based,5,0.0,0.0,0.0,0.0,386,19,20
46148,Content-Based,10,0.0,0.0,0.0,0.0,386,19,20
46148,Content-Based,20,0.0,0.0,0.0,0.0,386,19,20
198652,Content-Based,5,0.0,0.0,0.0,0.0,204,23,20
198652,Content-Based,10,0.0,0.0,0.0,0.0,204,23,20
198652,Content-Based,20,0.0,0.0,0.0,0.0,204,23,20
98609,Content-Based,5,0.0,0.0,0.0,0.0,227,32,20
98609,Content-Based,10,0.0,0.0,0.0,0.0,227,32,20
98609,Content-Based,20,0.0,0.0,0.0,0.0,227,32,20
74052,Content-Based,5,0.0,0.0,0.0,0.0,25,5,20
74052,Content-Based,10,0.0,0.0,0.0,0.0,25,5,20
74052,Content-Based,20,0.0,0.0,0.0,0.0,25,5,20
160189,Content-Based,5,0.0,0.0,0.0,0.0,100,21,20
160189,Content-Based,10,0.0,0.0,0.0,0.0,100,21,20
160189,Content-Based,20,0.0,0.0,0.0,0.0,100,21,20
